식품명,식품기원명,대표식품코드,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처명,식품중량,업체명,데이터생성일자,데이터기준일자
어묵국,가정식(분석 함량),5236,100g,31,92.8,1.49,1.03,0.87,3.83,0.07,0.4,19,0.19,25,110,226,3,0,32,0.029,0.011,0.389,0,0,2.45,0.07,0,식품의약품안전처,350g,해당없음,2018-12-31,2023-08-31
오징어국,가정식(분석 함량),5242,100g,18,95.4,2.22,0.73,0.91,0.73,0.24,0.3,5,0.05,36,82,257,2,0,25,0.22,0.056,0.422,0,0,31.88,0.08,0,식품의약품안전처,500g,해당없음,2019-12-31,2023-08-31
육개장,가정식(분석 함량),5245,100g,30,93,3.68,0.99,0.83,1.49,0.76,1.2,17,0.56,42,121,201,2,0,28,0,0.061,9.818,0,0,10.86,0.17,0,식품의약품안전처,440g,해당없음,2018-12-31,2023-08-31
육개장_닭고기,가정식(분석 함량),5245,100g,20,94.7,2.74,0.42,0.76,1.41,0.57,0.7,16,0.19,40,106,167,1,1,0,0.073,0.056,1.117,0.1,0,9.55,0.15,0,식품의약품안전처,700g,해당없음,2019-12-31,2023-08-31
장어탕,가정식(분석 함량),5247,100g,67,86.8,4.32,3.91,1.32,3.68,2.66,1.1,32,0.38,72,146,387,66,61,69,0.565,0.079,0.915,0.66,0,33.75,0.63,0.02,식품의약품안전처,800g,해당없음,2019-12-31,2023-08-31
재첩국,가정식(분석 함량),5248,100g,23,94,0.67,0.29,0.47,4.54,0,0.1,20,0.72,6,22,126,1,0,13,0,0.034,0,0.18,0,4.27,0.01,0,식품의약품안전처,350g,해당없음,2017-12-31,2023-08-31
조개국,가정식(분석 함량),5250,100g,16,96.3,1.67,0.89,0.91,0.25,0.18,0.6,7,1.3,24,43,297,1,0,10,0.378,0.045,0.12,3.19,0,4.01,0.05,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
콩나물국,가정식(분석 함량),5253,100g,6,97.9,0.74,0.09,0.69,0.61,0.16,0.4,9,0.08,12,37,219,1,0,12,0,0.023,0.045,0.22,0,0.73,0.03,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
토란국,가정식(분석 함량),5255,100g,16,95.6,1,0.12,0.71,2.61,0.27,0.1,8,0.08,16,109,190,0,0,3,0.023,0.018,0.46,0.35,0,1.12,0.04,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
해장국_뼈다귀,가정식(분석 함량),5256,100g,26,93.7,3.19,0.97,1.04,1.06,0.63,0.3,10,2.03,29,78,346,3,0,31,0.116,0.056,2.051,0.17,0,9.45,0.21,0,식품의약품안전처,800g,해당없음,2019-12-31,2023-08-31
해장국_선지,가정식(분석 함량),5256,100g,29,93,3.86,0.96,0.99,1.23,0,0.4,23,6.83,13,30,312,15,1,176,0.287,0.082,0.938,2.48,0,29.05,0.13,0,식품의약품안전처,600g,해당없음,2018-12-31,2023-08-31
갈치찌개,가정식(분석 함량),6259,100g,38,91,5.27,1,0.75,1.95,0.98,0.8,10,0.23,61,177,91,11,2,104,0,0.06,0.048,2.52,0,15.04,0.3,0,식품의약품안전처,250g,해당없음,2017-12-31,2023-08-31
감자탕,가정식(분석 함량),6260,100g,71,86.2,6.31,4.06,1.18,2.27,0,2.4,38,1.06,43,98,328,33,1,381,0.164,0.009,7.585,2.35,0,38.53,1.16,0.01,식품의약품안전처,530g,해당없음,2018-12-31,2023-08-31
김치전골,가정식(분석 함량),6265,100g,73,85.5,3.12,4.23,1.47,5.68,0.79,1.6,21,0.65,51,202,299,5,0,57,0.515,0.189,0,0.33,0,7.43,0.67,0.01,식품의약품안전처,270g,해당없음,2017-12-31,2023-08-31
김치찌개_꽁치,가정식(분석 함량),6266,100g,89,83,7.14,5.18,1.19,3.54,0.7,2.6,50,0.46,96,227,249,19,6,150,0.1,0.133,0,0,1.61,24.25,0.93,0.72,식품의약품안전처,270g,해당없음,2017-12-31,2023-08-31
김치찌개_돼지고기,가정식(분석 함량),6266,100g,45,91.1,4.25,2.71,0.96,1.04,0.05,1.5,12,0.49,59,149,207,2,0,21,0.12,2.355,0,0,0,7.11,0.48,0.01,식품의약품안전처,200g,해당없음,2018-12-31,2023-08-31
김치찌개_어묵,가정식(분석 함량),6266,100g,38,90.1,1.82,0.59,1.17,6.31,1.6,1.3,20,0.25,27,153,256,11,0,127,0,0.023,0,0.02,0,2.51,0.15,0,식품의약품안전처,260g,해당없음,2017-12-31,2023-08-31
김치찌개_참치,가정식(분석 함량),6266,100g,51,89.4,3.59,2.82,1.32,2.9,0.15,1.6,17,0.39,54,219,264,5,0,55,0,0.137,1.493,0.89,0,6.54,0.26,0.03,식품의약품안전처,300g,해당없음,2019-12-31,2023-08-31
김치찌개_햄,가정식(분석 함량),6266,100g,31,92.5,1.47,1.39,1.49,3.17,0.04,1,12,0.08,33,105,445,2,0,30,0,0.057,0.153,1.05,0,4.39,0.45,0.01,식품의약품안전처,300g,해당없음,2019-12-31,2023-08-31
된장국_우거지,가정식(분석 함량),5216,100g,20,94.9,2.77,0.59,0.92,0.82,0.63,0.8,14,0.35,32,84,291,0,0,4,0.665,0.05,0.718,0,0,7.11,0.13,0,식품의약품안전처,400g,해당없음,2015-06-30,2023-08-31
된장국_콩나물,가정식(분석 함량),5216,100g,31,92.4,2.58,1.11,1.3,2.62,0.53,1,20,0.51,43,132,365,2,0,24,0,0.073,1.345,0,0,0,0.1,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
된장국_해물,가정식(분석 함량),5216,100g,28,92.9,2.1,0.98,1.38,2.68,0.45,1,28,0.6,43,140,384,6,0,76,0.418,0.053,1.813,1.54,0,11.38,0.13,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
된장국_호박,가정식(분석 함량),5216,100g,31,92.4,3.34,1.31,1.51,1.41,0.49,0.9,19,0.33,74,146,452,4,0,46,0,0.02,1.48,0,0,0,0.15,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
된장국_호박잎,가정식(분석 함량),5216,100g,7,98.2,0.4,0.32,0.52,0.54,0.07,0.2,8,0.23,10,34,163,12,0,139,0.143,0.011,0,0,0,0,0.02,0,식품의약품안전처,350g,해당없음,2017-12-31,2023-08-31
